BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
No ChipData,510,4,5,acarbose,Control,24 hr,Liver,Necrosis,Liver cell,minimal,True
No ChipData,510,5,2,acarbose,Low,3 hr,Liver,Microgranuloma,,minimal,True
No ChipData,510,5,1,acarbose,Low,3 hr,Liver,Necrosis,Liver cell,minimal,True
003017401019,510,6,2,acarbose,Low,6 hr,Liver,Necrosis,Liver cell,minimal,True
No ChipData,510,6,4,acarbose,Low,6 hr,Liver,Necrosis,Liver cell,minimal,True
003017400025,510,8,3,acarbose,Low,24 hr,Liver,Microgranuloma,,minimal,True
003017400026,510,8,4,acarbose,Low,24 hr,Liver,Microgranuloma,,minimal,True
003017401011,510,9,3,acarbose,Middle,3 hr,Liver,Microgranuloma,,minimal,True
003017401022,510,10,1,acarbose,Middle,6 hr,Liver,Microgranuloma,,minimal,True
003017401024,510,10,4,acarbose,Middle,6 hr,Liver,Microgranuloma,,minimal,True
003017401026,510,14,4,acarbose,High,6 hr,Liver,Necrosis,Liver cell,minimal,True
No ChipData,510,16,2,acarbose,High,24 hr,Liver,Fibrosis,,minimal,True
003017401002,510,16,3,acarbose,High,24 hr,Liver,Microgranuloma,,minimal,True
003017582029,568,7,1,acetamidofluorene,Low,9 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,568,7,2,acetamidofluorene,Low,9 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,568,7,4,acetamidofluorene,Low,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017583001,568,7,5,acetamidofluorene,Low,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017582030,568,7,3,acetamidofluorene,Low,9 hr,Liver,Swelling,Centrilobular,slight,False
003017583012,568,8,3,acetamidofluorene,Low,24 hr,Liver,Cellular infiltration,Periportal,minimal,True
No ChipData,568,8,1,acetamidofluorene,Low,24 hr,Liver,Swelling,Centrilobular,slight,False
003017583011,568,8,2,acetamidofluorene,Low,24 hr,Liver,Swelling,Centrilobular,slight,False
003017583012,568,8,3,acetamidofluorene,Low,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,8,4,acetamidofluorene,Low,24 hr,Liver,Swelling,Centrilobular,slight,False
003017583013,568,8,5,acetamidofluorene,Low,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,11,1,acetamidofluorene,Middle,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017583003,568,11,3,acetamidofluorene,Middle,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017583002,568,11,2,acetamidofluorene,Middle,9 hr,Liver,Swelling,Centrilobular,slight,False
003017583004,568,11,4,acetamidofluorene,Middle,9 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,11,5,acetamidofluorene,Middle,9 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,12,1,acetamidofluorene,Middle,24 hr,Liver,Cellular infiltration,Periportal,minimal,True
003017583014,568,12,2,acetamidofluorene,Middle,24 hr,Liver,Swelling,Centrilobular,slight,False
003017583015,568,12,3,acetamidofluorene,Middle,24 hr,Liver,Swelling,Centrilobular,slight,False
003017583016,568,12,4,acetamidofluorene,Middle,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,12,5,acetamidofluorene,Middle,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,12,1,acetamidofluorene,Middle,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017586022,568,14,1,acetamidofluorene,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,568,14,2,acetamidofluorene,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017586023,568,14,3,acetamidofluorene,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017583006,568,15,3,acetamidofluorene,High,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017583007,568,15,5,acetamidofluorene,High,9 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,568,15,1,acetamidofluorene,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017583005,568,15,2,acetamidofluorene,High,9 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,568,15,4,acetamidofluorene,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017583017,568,16,1,acetamidofluorene,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
No ChipData,568,16,2,acetamidofluorene,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017583018,568,16,3,acetamidofluorene,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017583019,568,16,4,acetamidofluorene,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
No ChipData,568,16,5,acetamidofluorene,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017645018,40,18,1,acetaminophen,Middle,9 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017645020,40,18,5,acetaminophen,Middle,9 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017645030,40,19,1,acetaminophen,Middle,24 hr,Liver,Cellular infiltration,Centrilobular,minimal,False
No ChipData,40,19,2,acetaminophen,Middle,24 hr,Liver,Cellular infiltration,Centrilobular,minimal,False
No ChipData,40,19,4,acetaminophen,Middle,24 hr,Liver,Cellular infiltration,Centrilobular,minimal,False
003017646002,40,19,5,acetaminophen,Middle,24 hr,Liver,Cellular infiltration,Centrilobular,minimal,False
003017646001,40,19,3,acetaminophen,Middle,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
No ChipData,40,19,4,acetaminophen,Middle,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017645030,40,19,1,acetaminophen,Middle,24 hr,Liver,"Change, eosinophilic",Centrilobular,slight,False
No ChipData,40,19,2,acetaminophen,Middle,24 hr,Liver,"Change, eosinophilic",Centrilobular,slight,False
003017646002,40,19,5,acetaminophen,Middle,24 hr,Liver,"Change, eosinophilic",Centrilobular,moderate,False
No ChipData,40,23,3,acetaminophen,High,9 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017645022,40,23,4,acetaminophen,High,9 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017645023,40,23,5,acetaminophen,High,9 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
003017646004,40,24,4,acetaminophen,High,24 hr,Liver,Cellular infiltration,Centrilobular,minimal,False
No ChipData,40,24,1,acetaminophen,High,24 hr,Liver,Cellular infiltration,Centrilobular,slight,False
003017646003,40,24,2,acetaminophen,High,24 hr,Liver,Cellular infiltration,Centrilobular,slight,False
No ChipData,40,24,3,acetaminophen,High,24 hr,Liver,Cellular infiltration,Centrilobular,slight,False
003017646005,40,24,5,acetaminophen,High,24 hr,Liver,Cellular infiltration,Centrilobular,slight,False
003017646004,40,24,4,acetaminophen,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,minimal,False
No ChipData,40,24,1,acetaminophen,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,slight,False
No ChipData,40,24,3,acetaminophen,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,slight,False
003017646003,40,24,2,acetaminophen,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,moderate,False
003017646005,40,24,5,acetaminophen,High,24 hr,Liver,"Change, eosinophilic",Centrilobular,moderate,False
No ChipData,717,2,2,aflatoxin B1,Low,24 hr,Liver,"Change, eosinophilic",Periportal,slight,False
003017920010,717,2,3,aflatoxin B1,Low,24 hr,Liver,"Change, eosinophilic",Periportal,slight,False
003017920011,717,2,5,aflatoxin B1,Low,24 hr,Liver,"Change, eosinophilic",Periportal,slight,False
No ChipData,717,2,2,aflatoxin B1,Low,24 hr,Liver,Single cell necrosis,Periportal,slight,False
003017920010,717,2,3,aflatoxin B1,Low,24 hr,Liver,Single cell necrosis,Periportal,slight,False
003017920011,717,2,5,aflatoxin B1,Low,24 hr,Liver,Single cell necrosis,Periportal,slight,False
No ChipData,717,3,4,aflatoxin B1,Middle,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017920014,717,3,5,aflatoxin B1,Middle,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
No ChipData,717,3,2,aflatoxin B1,Middle,24 hr,Liver,"Change, eosinophilic",Periportal,slight,False
No ChipData,717,3,4,aflatoxin B1,Middle,24 hr,Liver,"Change, eosinophilic",Periportal,slight,False
003017920012,717,3,1,aflatoxin B1,Middle,24 hr,Liver,"Change, eosinophilic",Periportal,moderate,False
003017920013,717,3,3,aflatoxin B1,Middle,24 hr,Liver,"Change, eosinophilic",Periportal,moderate,False
003017920014,717,3,5,aflatoxin B1,Middle,24 hr,Liver,"Change, eosinophilic",Periportal,moderate,False
No ChipData,717,3,2,aflatoxin B1,Middle,24 hr,Liver,Single cell necrosis,Periportal,slight,False
003017920012,717,3,1,aflatoxin B1,Middle,24 hr,Liver,Single cell necrosis,Periportal,moderate,False
003017920013,717,3,3,aflatoxin B1,Middle,24 hr,Liver,Single cell necrosis,Periportal,moderate,False
No ChipData,717,3,4,aflatoxin B1,Middle,24 hr,Liver,Single cell necrosis,Periportal,moderate,False
003017920014,717,3,5,aflatoxin B1,Middle,24 hr,Liver,Single cell necrosis,Periportal,moderate,False
003017920017,717,4,3,aflatoxin B1,High,24 hr,Liver,Atrophy,Hepatocyte,slight,False
003017920018,717,4,4,aflatoxin B1,High,24 hr,Liver,Atrophy,Hepatocyte,slight,False
003017920019,717,4,5,aflatoxin B1,High,24 hr,Liver,Atrophy,Hepatocyte,slight,False
003017920015,717,4,1,aflatoxin B1,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017920016,717,4,2,aflatoxin B1,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017920018,717,4,4,aflatoxin B1,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017920019,717,4,5,aflatoxin B1,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017920017,717,4,3,aflatoxin B1,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,moderate,False
003017920016,717,4,2,aflatoxin B1,High,24 hr,Liver,"Change, eosinophilic",Periportal,moderate,False
003017920019,717,4,5,aflatoxin B1,High,24 hr,Liver,"Change, eosinophilic",Periportal,moderate,False
003017920015,717,4,1,aflatoxin B1,High,24 hr,Liver,"Change, eosinophilic",Periportal,severe,False
003017920017,717,4,3,aflatoxin B1,High,24 hr,Liver,"Change, eosinophilic",Periportal,severe,False
003017920018,717,4,4,aflatoxin B1,High,24 hr,Liver,"Change, eosinophilic",Periportal,severe,False
003017920016,717,4,2,aflatoxin B1,High,24 hr,Liver,Single cell necrosis,Periportal,moderate,False
003017920015,717,4,1,aflatoxin B1,High,24 hr,Liver,Single cell necrosis,Periportal,severe,False
003017920017,717,4,3,aflatoxin B1,High,24 hr,Liver,Single cell necrosis,Periportal,severe,False
003017920018,717,4,4,aflatoxin B1,High,24 hr,Liver,Single cell necrosis,Periportal,severe,False
003017920019,717,4,5,aflatoxin B1,High,24 hr,Liver,Single cell necrosis,Periportal,severe,False
No ChipData,517,3,1,ajmaline,Control,9 hr,Liver,Microgranuloma,,minimal,True
No ChipData,517,4,3,ajmaline,Control,24 hr,Liver,Necrosis,Subserosa,minimal,True
003017536017,517,6,2,ajmaline,Low,6 hr,Liver,Microgranuloma,,minimal,True
003017537025,517,7,2,ajmaline,Low,9 hr,Liver,Microgranuloma,,minimal,True
003017538008,517,8,5,ajmaline,Low,24 hr,Liver,Microgranuloma,,minimal,True
003017538008,517,8,5,ajmaline,Low,24 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,517,9,1,ajmaline,Middle,3 hr,Liver,Necrosis,Subserosa,minimal,True
003017537028,517,11,2,ajmaline,Middle,9 hr,Liver,Microgranuloma,,minimal,True
003017538011,517,12,3,ajmaline,Middle,24 hr,Liver,Microgranuloma,,minimal,True
No ChipData,517,12,4,ajmaline,Middle,24 hr,Liver,Microgranuloma,,minimal,True
No ChipData,517,12,5,ajmaline,Middle,24 hr,Liver,Microgranuloma,,minimal,True
003017536022,517,14,1,ajmaline,High,6 hr,Liver,Necrosis,Subserosa,minimal,True
003017694022,198,1,5,allopurinol,Control,3 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017695007,198,6,5,allopurinol,Low,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,198,10,1,allopurinol,Middle,6 hr,Liver,Cyst,,minimal,True
No ChipData,102,3,4,allyl alcohol,Control,9 hr,Liver,Cellular infiltration,,minimal,True
003017673001,102,9,3,allyl alcohol,Middle,3 hr,Liver,Necrosis,,minimal,True
003017673012,102,10,2,allyl alcohol,Middle,6 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
No ChipData,102,10,3,allyl alcohol,Middle,6 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
003017673003,102,13,2,allyl alcohol,High,3 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
No ChipData,102,13,4,allyl alcohol,High,3 hr,Liver,Necrosis,,minimal,True
003017673003,102,13,2,allyl alcohol,High,3 hr,Liver,Necrosis,Periportal,minimal,False
No ChipData,102,14,1,allyl alcohol,High,6 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
003017673014,102,14,3,allyl alcohol,High,6 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,slight,False
No ChipData,102,14,2,allyl alcohol,High,6 hr,Liver,Necrosis,,minimal,True
003017673014,102,14,3,allyl alcohol,High,6 hr,Liver,Necrosis,Periportal,slight,False
003017673026,102,15,1,allyl alcohol,High,9 hr,Liver,Cellular infiltration,,minimal,True
003017673026,102,15,1,allyl alcohol,High,9 hr,Liver,Cellular infiltration,Periportal,minimal,False
003017673027,102,15,2,allyl alcohol,High,9 hr,Liver,Cellular infiltration,Periportal,minimal,False
003017673026,102,15,1,allyl alcohol,High,9 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
No ChipData,102,16,5,allyl alcohol,High,24 hr,Liver,Cellular infiltration,Periportal,minimal,False
003017674008,102,16,1,allyl alcohol,High,24 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
003017674009,102,16,3,allyl alcohol,High,24 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
No ChipData,102,16,5,allyl alcohol,High,24 hr,Liver,"Degeneration, acidophilic, eosinophilic",Periportal,minimal,False
003017674008,102,16,1,allyl alcohol,High,24 hr,Liver,Necrosis,,minimal,True
003017633029,634,5,2,amiodarone,Low,3 hr,Liver,Necrosis,,minimal,True
003017634017,634,14,2,amiodarone,High,6 hr,Liver,"Nodule, hepatodiaphragmatic",,minimal,True
003017633023,634,16,3,amiodarone,High,24 hr,Liver,Necrosis,,minimal,True
No ChipData,367,1,1,amitriptyline,Control,3 hr,Liver,Granuloma,,minimal,True
003017161013,367,2,1,amitriptyline,Control,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,367,2,3,amitriptyline,Control,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,367,9,1,amitriptyline,Middle,3 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017163001,367,12,4,amitriptyline,Middle,24 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017163002,367,12,5,amitriptyline,Middle,24 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017161010,367,13,2,amitriptyline,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,367,15,3,amitriptyline,High,9 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017885012,690,11,1,amphotericin B,Middle,9 hr,Liver,Necrosis,,minimal,False
003017885013,690,11,2,amphotericin B,Middle,9 hr,Liver,Necrosis,,minimal,False
003017885014,690,11,3,amphotericin B,Middle,9 hr,Liver,Necrosis,,minimal,False
No ChipData,690,11,5,amphotericin B,Middle,9 hr,Liver,Necrosis,,minimal,False
003017885021,690,12,1,amphotericin B,Middle,24 hr,Liver,Necrosis,,minimal,False
003017885022,690,12,3,amphotericin B,Middle,24 hr,Liver,Necrosis,,minimal,False
003017885023,690,12,5,amphotericin B,Middle,24 hr,Liver,Necrosis,,minimal,False
No ChipData,690,16,5,amphotericin B,High,24 hr,Liver,Edema,Glisson's sheath,minimal,False
No ChipData,690,16,5,amphotericin B,High,24 hr,Liver,Necrosis,,slight,False
No ChipData,690,16,5,amphotericin B,High,24 hr,Liver,Necrosis,"Artery, interlobular",slight,False
003017635001,630,3,1,aspirin,Control,9 hr,Liver,Necrosis,,minimal,True
003017634024,630,5,5,aspirin,Low,3 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,630,6,1,aspirin,Low,6 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,630,6,2,aspirin,Low,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017635023,630,6,4,aspirin,Low,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017635024,630,6,5,aspirin,Low,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017634026,630,9,3,aspirin,Middle,3 hr,Liver,Necrosis,,minimal,True
No ChipData,630,9,1,aspirin,Middle,3 hr,Liver,Swelling,Centrilobular,minimal,False
003017634026,630,9,3,aspirin,Middle,3 hr,Liver,Swelling,Centrilobular,minimal,False
003017634027,630,9,4,aspirin,Middle,3 hr,Liver,Swelling,Centrilobular,minimal,False
003017634025,630,9,2,aspirin,Middle,3 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,9,5,aspirin,Middle,3 hr,Liver,Swelling,Centrilobular,slight,False
003017635026,630,10,3,aspirin,Middle,6 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,630,10,1,aspirin,Middle,6 hr,Liver,Swelling,Centrilobular,slight,False
003017635025,630,10,2,aspirin,Middle,6 hr,Liver,Swelling,Centrilobular,slight,False
003017635027,630,10,4,aspirin,Middle,6 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,10,5,aspirin,Middle,6 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,12,2,aspirin,Middle,24 hr,Liver,Necrosis,,minimal,True
003017634030,630,13,4,aspirin,High,3 hr,Liver,Swelling,Centrilobular,minimal,False
003017634028,630,13,1,aspirin,High,3 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,13,2,aspirin,High,3 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,13,5,aspirin,High,3 hr,Liver,Swelling,Centrilobular,slight,False
003017634029,630,13,3,aspirin,High,3 hr,Liver,Swelling,Centrilobular,moderate,False
003017635029,630,14,2,aspirin,High,6 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,14,3,aspirin,High,6 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,14,4,aspirin,High,6 hr,Liver,Swelling,Centrilobular,slight,False
003017635030,630,14,5,aspirin,High,6 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,630,15,1,aspirin,High,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017635011,630,15,4,aspirin,High,9 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,630,15,2,aspirin,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017635012,630,15,5,aspirin,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017659003,630,16,2,aspirin,High,24 hr,Liver,Necrosis,,minimal,True
003017636005,630,16,3,aspirin,High,24 hr,Liver,Necrosis,,minimal,True
003017636006,630,16,5,aspirin,High,24 hr,Liver,Necrosis,,minimal,True
003017636006,630,16,5,aspirin,High,24 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,550,1,3,bendazac,Control,3 hr,Liver,Cellular infiltration,Periductular,minimal,True
003017444029,550,3,2,bendazac,Control,9 hr,Liver,Cellular infiltration,Periductular,slight,True
No ChipData,550,3,5,bendazac,Control,9 hr,Liver,"Hematopoiesis, extramedullary",,minimal,True
003017445011,550,4,1,bendazac,Control,24 hr,Liver,Cellular infiltration,Periductular,minimal,True
003017491012,550,5,2,bendazac,Low,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,550,5,3,bendazac,Low,3 hr,Liver,Microgranuloma,,minimal,True
No ChipData,550,5,1,bendazac,Low,3 hr,Liver,Mineralization,,minimal,True
003017491024,550,6,2,bendazac,Low,6 hr,Liver,Cellular infiltration,Periductular,slight,True
No ChipData,550,7,5,bendazac,Low,9 hr,Liver,Cellular infiltration,Periductular,minimal,True
No ChipData,550,7,1,bendazac,Low,9 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
No ChipData,550,9,2,bendazac,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,550,9,4,bendazac,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017491017,550,9,5,bendazac,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,550,9,4,bendazac,Middle,3 hr,Liver,Necrosis,Subserosa,minimal,True
003017504023,550,10,5,bendazac,Middle,6 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,550,11,1,bendazac,Middle,9 hr,Liver,Cellular infiltration,Periductular,minimal,True
No ChipData,550,11,4,bendazac,Middle,9 hr,Liver,Microgranuloma,,minimal,True
003017445006,550,11,3,bendazac,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
003017445007,550,11,5,bendazac,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,slight,True
003017445017,550,12,1,bendazac,Middle,24 hr,Liver,"Hematopoiesis, extramedullary",,minimal,True
No ChipData,550,12,5,bendazac,Middle,24 hr,Liver,Microgranuloma,,minimal,True
003017445019,550,12,3,bendazac,Middle,24 hr,Liver,Necrosis,Subserosa,minimal,True
No ChipData,550,13,3,bendazac,High,3 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017491018,550,13,1,bendazac,High,3 hr,Liver,Microgranuloma,,minimal,True
003017491020,550,13,5,bendazac,High,3 hr,Liver,Microgranuloma,,minimal,True
No ChipData,550,14,3,bendazac,High,6 hr,Liver,Necrosis,Subserosa,slight,True
No ChipData,550,15,1,bendazac,High,9 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
003017445009,550,15,3,bendazac,High,9 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
No ChipData,550,16,3,bendazac,High,24 hr,Liver,Microgranuloma,,minimal,True
003017445022,550,16,5,bendazac,High,24 hr,Liver,Microgranuloma,,minimal,True
No ChipData,550,16,2,bendazac,High,24 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
003017445022,550,16,5,bendazac,High,24 hr,Liver,"Vacuolization, cytoplasmic",Hepatocyte,minimal,True
003017682008,154,16,1,benzbromarone,High,24 hr,Liver,Hypertrophy,Centrilobular,minimal,False
003017682009,154,16,2,benzbromarone,High,24 hr,Liver,Hypertrophy,Centrilobular,minimal,False
003017682010,154,16,3,benzbromarone,High,24 hr,Liver,Hypertrophy,Centrilobular,minimal,False
No ChipData,154,16,4,benzbromarone,High,24 hr,Liver,Hypertrophy,Centrilobular,minimal,False
No ChipData,154,16,5,benzbromarone,High,24 hr,Liver,Hypertrophy,Centrilobular,minimal,False
003017511002,552,1,5,benziodarone,Control,3 hr,Liver,Microgranuloma,,minimal,True
003017462018,552,2,4,benziodarone,Control,6 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,552,3,3,benziodarone,Control,9 hr,Liver,Microgranuloma,,minimal,True
003017461024,552,4,4,benziodarone,Control,24 hr,Liver,Fibrosis,Subserosa,minimal,True
003017461024,552,4,4,benziodarone,Control,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
003017511006,552,6,1,benziodarone,Low,6 hr,Liver,"Lesion,NOS",,moderate,True
No ChipData,552,6,5,benziodarone,Low,6 hr,Liver,Microgranuloma,,minimal,True
003017461025,552,8,2,benziodarone,Low,24 hr,Liver,Necrosis,Subserosa,minimal,True
003017462011,552,9,4,benziodarone,Middle,3 hr,Liver,Microgranuloma,,minimal,True
003017461018,552,11,5,benziodarone,Middle,9 hr,Liver,Microgranuloma,,minimal,True
No ChipData,552,12,5,benziodarone,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,True
No ChipData,552,12,5,benziodarone,Middle,24 hr,Liver,Microgranuloma,,minimal,True
